This is an RPBCAC agent
This is an RPBCAC agent
This is an RPBCAC agent
This is an RPBCAC agent
This is a greedy agent
{'n_agents': 5, 'agent_label': ['Cooperative', 'Cooperative', 'Cooperative', 'Cooperative', 'Greedy'], 'n_actions': 5, 'n_states': 2, 'n_episodes': 10000, 'max_ep_len': 20, 'slow_lr': 0.002, 'fast_lr': 0.01, 'gamma': 0.9, 'H': 1, 'eps': 0.05, 'n_ep_fixed': 100, 'n_epochs': 20, 'in_nodes': [[0, 1, 2, 3], [1, 2, 3, 4], [2, 3, 4, 0], [3, 4, 0, 1], [4, 0, 1, 2]], 'randomize_state': True, 'scaling': True, 'resilient_method': 'projection-based', 'summary_dir': './simulation_results/', 'random_seed': 50, 'desired_state': array([[0, 0],
       [3, 5],
       [1, 4],
       [5, 5],
       [5, 2]]), 'initial_state': array([[2, 4],
       [3, 4],
       [3, 2],
       [2, 4],
       [3, 1]])}
| Episode: 0 | Est. returns: 0.5298295021057129 | Returns: [-4.23814184 -5.4446842  -5.25420155 -5.43655112 -2.89117187] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 1 | Est. returns: 0.9403616189956665 | Returns: [-5.52745279 -3.36614257 -2.8143811  -4.70095321 -5.64400701] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 2 | Est. returns: 0.45781561732292175 | Returns: [-7.02397682 -5.00302313 -1.51763001 -2.43452744 -4.32591313] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 3 | Est. returns: 0.4993746280670166 | Returns: [-7.4223805  -4.17075382 -5.62462377 -1.92086862 -5.35809184] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 4 | Est. returns: 1.0286279916763306 | Returns: [-4.89029575 -5.50477543 -3.04927988 -4.2617236  -4.67254435] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 5 | Est. returns: 1.6451709270477295 | Returns: [-1.54515561 -4.08452318 -3.92655676 -5.69551384 -0.69414811] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 6 | Est. returns: 1.1805379390716553 | Returns: [-2.82390324 -5.52992167 -5.66658995 -4.26409004 -2.18598689] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 7 | Est. returns: 1.2588475942611694 | Returns: [-3.04186835 -2.28078998 -3.84018525 -5.78553319 -4.93605585] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 8 | Est. returns: 0.7753587365150452 | Returns: [-1.97530482 -3.49120672 -2.79832955 -2.30546952 -3.12428719] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 9 | Est. returns: 0.7736421227455139 | Returns: [-3.61093263 -7.02099745 -3.12180422 -7.56227177 -5.4763361 ] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 10 | Est. returns: 1.4091602563858032 | Returns: [-6.26435746 -4.68820003 -3.72213631 -4.92430416 -5.29466651] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 11 | Est. returns: 0.884016215801239 | Returns: [-1.37718823 -3.43969309 -2.37582631 -4.44864723 -4.11590464] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 12 | Est. returns: 1.205937385559082 | Returns: [-4.25115394 -6.99886878 -4.81907119 -0.84662659 -2.56046831] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 13 | Est. returns: 0.7407066226005554 | Returns: [-6.50846399 -2.03905666 -2.45297189 -2.10317467 -1.81695371] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 14 | Est. returns: 0.5696045160293579 | Returns: [-4.07573587 -4.34258185 -3.38111738 -4.30707622 -5.32611215] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 15 | Est. returns: 2.038039445877075 | Returns: [-3.24331225 -5.62433128 -2.67827741 -3.04592005 -2.00337145] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 16 | Est. returns: 0.6125327348709106 | Returns: [-7.85821811 -5.24078778 -2.95384784 -4.79670052 -4.93855083] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 17 | Est. returns: 0.9895377159118652 | Returns: [-4.9490131  -4.8789391  -3.10048557 -3.01780773 -3.44561219] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 18 | Est. returns: 0.7837801575660706 | Returns: [-4.38536432 -4.29513787 -3.88916875 -4.03625012 -4.68325021] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 19 | Est. returns: -0.032648663967847824 | Returns: [-6.80750862 -2.77824251 -2.21961783 -5.0119899  -4.11194633] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 20 | Est. returns: 0.24077120423316956 | Returns: [-4.7081814  -3.49543541 -2.78185415 -4.03217686 -4.04254553] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 21 | Est. returns: 0.645006000995636 | Returns: [-7.25642507 -2.71342565 -1.32739151 -4.52413638 -4.65494396] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 22 | Est. returns: 0.8139429688453674 | Returns: [-2.6510218  -3.41065534 -3.2134254  -1.73593174 -5.75900761] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
| Episode: 23 | Est. returns: 0.16177862882614136 | Returns: [-4.4318476  -2.70670913 -2.69736542 -4.206099   -1.27765417] | Average critic loss: [0. 0. 0. 0. 0.] | Average TR loss: [0. 0. 0. 0. 0.] | Average actor loss: [0. 0. 0. 0. 0.] | Target reached: False 
